timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1786312053.929000,1800.57,-21551.01,-12048.75,-13375.10,-13142.56,-10715.69,-4822.88,-6783.04
1786312053.929000,1801.10,-21554.77,-12045.53,-13376.71,-13142.02,-10714.35,-4823.68,-6781.97
1786312053.957000,1805.39,-21558.26,-12044.73,-13378.05,-13138.53,-10711.94,-4821.81,-6778.48
1786312053.957000,1806.74,-21560.67,-12059.21,-13375.37,-13135.85,-10713.01,-4821.54,-6775.53
1786312053.957000,1802.18,-21559.33,-12067.80,-13376.71,-13139.34,-10713.28,-4823.15,-6777.67
1786312053.957000,1800.84,-21557.18,-12065.11,-13376.98,-13142.56,-10714.62,-4824.49,-6780.09
1786312053.957000,1800.84,-21556.11,-12051.70,-13375.91,-13143.63,-10715.96,-4830.39,-6782.23
1786312054.006000,1801.10,-21553.43,-12038.56,-13376.98,-13142.56,-10714.89,-4830.93,-6781.43
1786312054.006000,1800.57,-21553.43,-12043.39,-13375.91,-13141.75,-10714.62,-4825.56,-6779.82
1786312054.006000,1797.62,-21556.92,-12061.09,-13374.03,-13144.70,-10718.38,-4825.56,-6780.62
1786312054.006000,1796.01,-21557.45,-12054.38,-13376.71,-13146.85,-10717.30,-4825.03,-6782.23
1786312054.006000,1798.15,-21557.18,-12050.36,-13376.71,-13146.58,-10717.30,-4826.37,-6781.97
1786312054.006000,1797.35,-21560.13,-12047.68,-13378.32,-13147.12,-10719.99,-4827.44,-6784.65
1786312054.006000,1796.81,-21560.40,-12055.19,-13377.79,-13146.04,-10719.45,-4826.90,-6783.84
1786312054.006000,1794.40,-21555.31,-12060.02,-13374.57,-13145.78,-10721.59,-4827.71,-6784.92
1786312054.006000,1793.59,-21555.04,-12058.94,-13375.64,-13146.85,-10722.94,-4829.59,-6786.26
1786312054.006000,1795.47,-21558.79,-12055.73,-13377.25,-13146.04,-10721.86,-4831.73,-6783.31
1786312054.046000,1797.62,-21559.87,-12047.41,-13377.52,-13146.04,-10720.52,-4830.39,-6780.89
1786312054.046000,1795.20,-21559.33,-12053.85,-13375.10,-13146.58,-10723.47,-4829.85,-6781.43
1786312054.046000,1793.86,-21559.33,-12063.50,-13375.10,-13148.46,-10725.62,-4831.73,-6779.82
1786312054.046000,1795.74,-21561.74,-12062.43,-13375.64,-13148.73,-10725.89,-4834.68,-6779.82
1786312054.046000,1792.52,-21559.87,-12059.21,-13378.05,-13152.21,-10727.23,-4838.17,-6780.36
1786312054.049000,1794.93,-21561.47,-12053.04,-13377.79,-13152.48,-10723.74,-4836.83,-6777.41
1786312054.049000,1793.33,-21561.21,-12051.70,-13377.52,-13152.75,-10726.69,-4837.10,-6779.55
1786312054.049000,1789.30,-21558.79,-12059.21,-13377.25,-13153.82,-10731.25,-4841.39,-6783.04
1786312054.049000,1789.30,-21560.67,-12066.45,-13381.01,-13153.29,-10726.96,-4840.85,-6781.16
1786312054.049000,1794.67,-21563.62,-12066.99,-13380.74,-13148.73,-10722.67,-4832.80,-6775.26
1786312054.052000,1797.35,-21567.91,-12061.09,-13380.47,-13147.12,-10721.33,-4828.24,-6774.46
1786312054.052000,1797.62,-21567.11,-12061.09,-13379.13,-13145.78,-10721.33,-4829.05,-6773.65
1786312054.052000,1793.59,-21561.21,-12070.21,-13378.05,-13150.87,-10728.57,-4836.56,-6776.87
1786312054.052000,1788.77,-21559.87,-12067.80,-13379.66,-13154.09,-10733.66,-4843.00,-6781.16
1786312054.052000,1790.64,-21563.35,-12054.12,-13382.08,-13154.09,-10732.59,-4841.12,-6784.11
1786312054.077000,1796.01,-21564.96,-12049.82,-13378.86,-13150.87,-10726.15,-4834.95,-6780.62
1786312054.077000,1794.93,-21562.01,-12058.41,-13377.25,-13150.07,-10724.55,-4833.88,-6782.50
1786312054.077000,1793.33,-21559.33,-12063.50,-13378.05,-13150.87,-10727.23,-4834.95,-6785.45
1786312054.077000,1793.33,-21562.28,-12067.53,-13377.79,-13152.75,-10729.64,-4837.90,-6783.84
1786312054.077000,1793.33,-21564.96,-12065.65,-13379.93,-13154.63,-10727.23,-4841.66,-6785.18
1786312054.135000,1794.13,-21564.16,-12061.89,-13379.93,-13152.75,-10725.89,-4840.85,-6788.13
1786312054.135000,1790.11,-21563.08,-12062.97,-13375.91,-13155.97,-10730.71,-4840.31,-6791.09
1786312054.135000,1790.64,-21559.33,-12066.19,-13374.30,-13155.43,-10733.40,-4841.66,-6790.01
1786312054.135000,1790.91,-21561.47,-12066.19,-13375.64,-13157.58,-10731.25,-4843.00,-6789.74
1786312054.135000,1788.77,-21567.91,-12060.82,-13378.05,-13160.53,-10734.47,-4846.48,-6793.23
1786312054.139000,1788.50,-21568.72,-12053.04,-13377.52,-13158.65,-10734.74,-4844.07,-6792.96
1786312054.139000,1788.50,-21565.23,-12067.80,-13372.42,-13157.04,-10737.69,-4842.46,-6792.43
1786312054.139000,1787.42,-21563.89,-12079.60,-13371.89,-13159.19,-10741.44,-4846.48,-6792.96
1786312054.139000,1790.11,-21563.89,-12075.57,-13374.30,-13157.31,-10734.74,-4845.14,-6789.74
1786312054.139000,1790.11,-21565.50,-12065.92,-13376.45,-13157.31,-10735.81,-4849.17,-6791.62
1786312054.141000,1787.96,-21564.69,-12055.19,-13376.45,-13159.19,-10737.96,-4849.97,-6791.09
1786312054.141000,1787.96,-21562.82,-12064.58,-13373.76,-13159.19,-10738.76,-4844.07,-6786.53
1786312054.141000,1789.57,-21562.82,-12073.70,-13370.81,-13157.85,-10737.96,-4844.61,-6784.92
1786312054.141000,1787.69,-21564.43,-12068.87,-13371.08,-13158.11,-10738.76,-4849.17,-6786.79
1786312054.141000,1789.30,-21566.57,-12062.16,-13374.03,-13157.85,-10737.42,-4848.36,-6786.53
1786312054.145000,1790.64,-21565.50,-12060.55,-13373.76,-13155.16,-10735.01,-4845.14,-6783.31
1786312054.145000,1789.84,-21564.16,-12066.72,-13371.35,-13156.24,-10735.81,-4845.68,-6782.23
1786312054.145000,1786.08,-21566.30,-12069.67,-13372.42,-13159.72,-10737.96,-4847.82,-6783.84
1786312054.145000,1787.69,-21563.62,-12069.40,-13372.96,-13159.19,-10736.08,-4847.29,-6781.16
1786312054.145000,1793.86,-21559.87,-12067.80,-13373.23,-13153.02,-10735.81,-4841.12,-6776.87
1786312054.167000,1791.98,-21560.94,-12067.26,-13373.23,-13153.82,-10734.47,-4840.58,-6780.89
